bairro_origem,bairro_destino,logradouro,observacao,peso
Santo Antonio,Ilha Joana Bezerra,R. Floriano Peixoto+Av. Rio Capibaribe+R. Pref. Jorge Martins,2ruas+1av,5.0
Sao Jose,Soledade,R. da Soledade+R. Jose de Alencar+Ponte Viaduto Joaquim Cardozo+R. Imperial,3ruas+1ponte,6.5
Sao Jose,Coelhos,Ponte Viaduto Joaquim Cardozo+R. Imperial,1ponte+1rua,2.5
Sao Jose,Ilha Joana Bezerra,R. Imperial+R. Pref. Jorge Martins+Tv. Padre de Azevedo,3ruas,6.0
Soledade,Coelhos,Av. Gov. Agamenon Magalhaes+Av. Conde da Boa Vista+R. Antonio Gomes de Freitas+R. do Jasmin,2av+2ruas,6.0
Soledade,Ilha Joana Bezerra,Av. Gov. Agamenon Magalhaes+Av. Conde da Boa Vista,2av,2.0
Coelhos,Ilha Joana Bezerra,R. Pref. Jorge Martins+Av. Agostinho Gomes+Ponte Viaduto Joaquim Cardozo+Tv. do Farias,2ruas+1av+1ponte,5.5
Arruda,Campina Do Barreto,R. das Moças,rua,2.0   
Arruda,Campo Grande,R. Prudente de Moraes,avenida+rua+avenida,4.0
Arruda,Encruzilhada,Av. Beberibe Santa Cruz Futebol Clube,avenida,1.0
Arruda,Hipodromo,R. Mem de Sa,avenida+rua,3.0
Arruda,Peixinhos,Av. Prof José dos Anjos,avenida,1.0
Arruda,Ponto De Parada,Av. Beberibe Santa Cruz Futebol Clube,avenida,1.0
Arruda,Rosarinho,R. Couto Magalhaes,avenida+rua,3.0
Arruda,Torreao,R. Dona Elvira,avenida+rua,3.0
Arruda,Agua Fria,R. Alegre,rua,2.0
Arruda,Alto Santa Teresinha,R. Bomba do Hemetério+R. Alto Jose Bonifacio,rua+rua,4.0
Arruda,Bomba Do Hemeterio,Rua Ramiz Galvão+R. Bomba do Hemetério,rua+rua,4.0
Arruda,Cajueiro,Av. Beberibe,avenida,1.0
Arruda,Fundao,R. Alegre+Av. Beberibe,rua+avenida,3.0
Arruda,Porto Da Madeira,Av. Beberibe,avenida,1.0
Arruda,Beberibe,Av. Beberibe,avenida,1.0
Arruda,Dois Unidos,R. Prof. José Amarino dos Réis+Av. Chagas Ferreira+R. Bomba Do Hemeterio,rua+avenida+rua,5.0
Arruda,Linha Do Tiro,R. Prof. José Amarino dos Réis,rua,2.0
Campina Do Barreto,Campo Grande,R. Desenhista Eulino Santos,rua,2.0
Campina Do Barreto,Encruzilhada,R. das Moaças,rua+avenida+ponte,3.5
Campina Do Barreto,Hipodromo,R. Marquês de Baipendi,rua+rua+ponte,4.5
Campina Do Barreto,Peixinhos,R. João Praxedes de Oliveira Filho,rua,2.0
Campina Do Barreto,Ponto De Parada,R.das Moças,rua+ponte,2.5
Campina Do Barreto,Rosarinho,R. Couto Magalhaes,rua+avenida+rua+ponte,5.5
Campina Do Barreto,Torreao,R. Jerônimo Viléla,rua,2.0
Campina Do Barreto,Agua Fria,R. das Moças+R. da Regeneração,rua+rua,4.0
Campina Do Barreto,Alto Santa Teresinha,R. Uriel de Holanda+R. Maj Davino,rua+rua,4.0
Campina Do Barreto,Bomba Do Hemeterio,Av. Beberibe,avenida,1.0
Campina Do Barreto,Cajueiro,Av. Sebastião Salazar+R. dos Craveiros,rua+avenida,3.0
Campina Do Barreto,Fundao,Cel. Urbano Ribeiro de Sena,rua,2.0
Campina Do Barreto,Porto Da Madeira,R. Cel. Urbano Ribeiro de Sena+Av. Beberibe,rua+avenida,3.0
Campina Do Barreto,Beberibe,Av. Beberibe,avenida,1.0
Campina Do Barreto,Dois Unidos,R. Uriel de Holanda+R. Maj Davino+Av.Chagas Ferreira,avenida+rua+rua,5.0
Campina Do Barreto,Linha Do Tiro,R. Cel. Urbano Ribeiro de Sena,rua,2.0
Campo Grande,Encruzilhada,Estr. de Belem,1rua,2.0
Campo Grande,Hipodromo,Estr. de Belem,1rua,2.0
Campo Grande,Peixinhos,R. Farias Neves,1rua,2.0
Campo Grande,Ponto De Parada,R. Marques de Baipendi,1rua,2.0
Campo Grande,Rosarinho,Estr. de Belem+Av. Norte Miguel Arraes de Alencar,1rua+1av,3.0
Campo Grande,Torreao,R. Professor Othon Paraiso,1rua,2.0
Campo Grande,Agua Fria,Estr. de Belem+Av. Norte Miguel Arraes de Alencar+Estr. Velha de Agua Fria,2ruas+1av,5.0
Campo Grande,Alto Santa Teresinha,Estr. de Belem+Av. Norte Miguel Arraes de Alencar+R. Corrego do Bartolomeu,2ruas+1av,5.0
Campo Grande,Bomba Do Hemeterio,Estr. de Belem+Av. Norte Miguel Arraes de Alencar,1rua+1av,3.0
Campo Grande,Cajueiro,Estr. de Belem+Av. Norte Miguel Arraes de Alencar+Av. Beberibe Santa Cruz Futebol Clube+R. Alegre+Av. Beberibe,2ruas+3av,7.0
Campo Grande,Fundao,Estr. de Belem+Av. Norte Miguel Arraes de Alencar+Av. Beberibe Santa Cruz Futebol Clube+R. Alegre+Av. Beberibe,2ruas+3av,7.0
Campo Grande,Porto Da Madeira,Estr. de Belem+Av. Norte Miguel Arraes de Alencar+Av. Beberibe Santa Cruz Futebol Clube+R. Alegre+Av. Beberibe,2ruas+3av,7.0
Campo Grande,Beberibe,Estr. de Belem+Av. Norte Miguel Arraes de Alencar+Av. Beberibe Santa Cruz Futebol Clube+R. Alegre+Av. Beberibe,2ruas+3av,7.0
Campo Grande,Dois Unidos,Estr. de Belem+Av. Norte Miguel Arraes de Alencar+R. Corrego do Bartomolomeu+R. Alto Jose Bonifacio+Av. Ver. Otacilio Azevedo+R. Tupiraçaba,4ruas+2av,10.0
Campo Grande,Linha Do Tiro,Estr. de Belem+Av. Norte Miguel Arraes de Alencar+Estr. Velha de Agua Fria+R. Bomba Do Hemeterio+R. Cha de Alegria+R. Prof. Jose Amarino dos Reis,5ruas+1av,11.0
Encruzilhada,Hipodromo,Rua Professor Miranda Curio,rua,2.0
Encruzilhada,Peixinhos,Av. Prof. José dos Anjos,avenida+avenida,2.0
Encruzilhada,Ponto De Parada,Av. Beberibe Santa Cruz Futebol Clube,avenida,1.0
Encruzilhada,Rosarinho,Av. Norte Miguel Arraes de Alencar,avenida,1.0
Encruzilhada,Torreao,R. Antônio Rangel+R. Padre Miguelinho,rua+rua,4.0
Encruzilhada,Agua Fria,Av. Beberibe Santa Cruz Futebol Clube,avenida,1.0
Encruzilhada,Alto Santa Teresinha,Av. Norte Miguel Arraes de Alencar,avenida,1.0
Encruzilhada,Bomba Do Hemeterio,Av. Beberibe Santa Cruz Futebol Clube,avenida+ponte,1.5
Encruzilhada,Cajueiro,Av. Beberibe Santa Cruz Futebol Clube+ Av. Beberibe,avenida+avenida+ponte,2.5
Encruzilhada,Fundao,Av. Beberibe Santa Cruz Futebol Clube,avenida,1.0
Encruzilhada,Porto Da Madeira,Av. Beberibe Santa Cruz Futebol Clube+Av. Beberibe,avenida+Avenida+ponte,2.5
Encruzilhada,Beberibe,Av. Beberibe Santa Cruz Futebol Clube+Av. Beberibe,avenida+avenida+ponte,2.5
Encruzilhada,Dois Unidos,R. Alto José Bonifácio+Av.Norte Miguel Arraes Alencar,rua+avenida,3.0
Encruzilhada,Linha Do Tiro,R. Prof. José Amarino dos Réis+R. Bomba Do Hemeterio,rua+rua,4.0
Hipodromo,Peixinhos,Av. Prof. José dos Anjos+R. Marquês de Baipendi,rua+avenida+ponte,3.5
Hipodromo,Ponto De Parada,Rua Mem de Sá,rua,2.0
Hipodromo,Rosarinho,R. Couto Magalhães,rua,2.0
Hipodromo,Torreao,R. Vicente Pinzon+R. Prof. Othon Paraíso,rua+rua,4.0
Hipodromo,Agua Fria,Av. Beberibe Santa Cruz Futebol Clube+R. Alegre,avenida+rua+ponte,3.5
Hipodromo,Alto Santa Teresinha,R. Alto Jose Bonifacio+Av. Prof. José dos Anjos,rua+avenida+ponte,3.5
Hipodromo,Bomba Do Hemeterio,Av. Prof. José dos Anjos+Estr. Velha de Agua Fria,avenida+avenida+ponte,4.5
Hipodromo,Cajueiro,R. Marquês de Baipendi+R. das Moças,rua+rua+ponte,4.5
Hipodromo,Fundao,R. do Machado+R. Pretonila Botelho,rua+rua+ponte,4.5
Hipodromo,Porto Da Madeira,Av. Beberibe+Av. Beberibe Santa Cruz Futebol Clube+R. Mem de Sa,avenida+avenida+rua+ponte,4.5
Hipodromo,Beberibe,Av. Beberibe+Av. Beberibe Santa Cruz Futebol Clube+R. Mem de Sa,avenida+avenida+rua+ponte,4.5
Hipodromo,Dois Unidos,R. Prof. José Amarino dos Réis+Av.Chagas Ferreira+Av. Prof. Jose dos Anjos,rua+avenida+avenida+ponte,4.5
Hipodromo,Linha Do Tiro,R. Prof. José Amarino dos Réis+R. Bomba Do Hemeterio+Av. Prof. Jose dos Anjos,rua+rua+avenida+ponte,5.5
Peixinhos,Ponto De Parada,Av. Prof. José dos Anjos,avenida+ponte,1.5
Peixinhos,Rosarinho,Av. Prof. José dos Anjos,avenida+ponte,1.5
Peixinhos,Torreao,Av. Prof. José dos Anjos+R. Jerônimo Viléla,avenida+rua+ponte,3.5
Peixinhos,Agua Fria,R. da Regeneração+Av. Prof. Jose dos Anjos,avenida+rua,3.0
Peixinhos,Alto Santa Teresinha,Av. Prof Jose dos Anjos+R. Alto Jose Bonifacio,avenida+rua,3.0
Peixinhos,Bomba Do Hemeterio,Av. Prof. José dos Anjos+R.Bomba Do Hemeterio,avenida+rua,3.0
Peixinhos,Cajueiro,Av. Sebastiao Salazar+R. Doutor Elias Gomes,rua+avenida,3.0
Peixinhos,Fundao,R. da Regeneração+Av. Prof. Jose dos Anjos,rua+avenida,3.0
Peixinhos,Porto Da Madeira,R. da Regeneração+Av. Beberibe,rua+avenida,3.0
Peixinhos,Beberibe,R. da Regeneracao+Av. Beberibe,rua+avenida,3.0
Peixinhos,Dois Unidos,Av. Chagas Ferreira+R. Ladeira de Pedra+R. da Regeneracao,rua+rua+avenida,5.0
Peixinhos,Linha Do Tiro,R. da Regeneracao+R. Ladeira de Pedra,rua+rua,4.0
Ponto De Parada,Rosarinho,R. Couto Magalhães,rua,2.0
Ponto De Parada,Torreao,Av. Beberibe Santa Cruz Futebol Clube,avenida,1.0
Ponto De Parada,Agua Fria,Av. Beberibe Santa Cruz Futebol Clube+R. Alegre,rua+avenida,3.0
Ponto De Parada,Alto Santa Teresinha,R. Alto Jose Bonifacio+R. Bomba Do Hemeterio+Av. Beberibe Santa Cruz Futebol Clube,rua+rua+avenida+ponte,5.5
Ponto De Parada,Bomba Do Hemeterio,Av. Beberibe Santa Cruz Futebol Clube+R. Bomba Do Hemeterio,rua+avenida+ponte,3.5
Ponto De Parada,Cajueiro,Av. Beberibe Santa Cruz Futebol Clube+Av. Beberibe+R. Alegre,avenida+avenida+rua+ponte,4.5
Ponto De Parada,Fundao,Av. Beberibe Santa Cruz Futebol Clube+R. Alegre+Av. Beberibe,avenida+rua+avenida+ponte,4.5
Ponto De Parada,Porto Da Madeira,Av. Beberibe+R.alegre,avenida+rua+ponte,3.5
Ponto De Parada,Beberibe,Av.Beberibe+Av. Beberibe Santa Cruz Futebol Clube,avenida+avenida+ponte,2.5
Ponto De Parada,Dois Unidos,Av. Chagas Ferreira+R. Prof. Jose Amarino dos Reis+Av. Beberibe Santa Cruz Futebol Clube,avenida+rua+avenida+ponte,4.5
Ponto De Parada,Linha Do Tiro,R. Prof. Jose Amarino dos Reis+R. Bomba Do Hemeterio+Av. Beberibe Santa Cruz Futebol Clube,rua+rua+avenida+ponte,5.5
Rosarinho,Torreao,Av. Norte Miguel Arraes de Alencar+R. Mal. Deodoro,avenida+rua,3.0
Rosarinho,Agua Fria,Estr. Velha de Agua Fria+R.Sao Sebastiao+Av. Norte Miguel Arraes de Alencar,avenida+rua+avenida,3.0
Rosarinho,Alto Santa Teresinha,Av. Norte Miguel Arraes de Alencar+R. Alto Jose Bonifacio,avenida+rua,3.0
Rosarinho,Bomba Do Hemeterio,Av. Norte Miguel Arraes de Alencar+Estr. Velha de Água Fria,avenida+avenida+ponte,2.5
Rosarinho,Cajueiro,R. das Moças+Av. Santos Dumont,avenida+rua+ponte,3.5
Rosarinho,Fundao,Av. Beberibe Santa Cruz Futebol Clube+Av.Beberibe,avenida+avenida+ponte,2.5
Rosarinho,Porto Da Madeira,Av. Beberibe Santa Cruz Futebol Clube+Av.Beberibe,avenida+avenida+ponte,2.5
Rosarinho,Beberibe,Av. Beberibe+R. Alegre,avenida+rua+ponte,3.5
Rosarinho,Dois Unidos,R. Prof. José Amarino dos Réis+R. Bomba Do Hemeterio+Av. Norte Miguel Arraes de Alencar,avenida+avenida+rua+ponte,4.5
Rosarinho,Linha Do Tiro,R. Tamboara+Estr. Velha de Agua Fria,rua+avenida+ponte,3.5
Torreao,Agua Fria,R. da Regeneração+R. Prudente de Moraes+R. Marquês de Baipendi,rua+rua+rua+ponte,6.5
Torreao,Alto Santa Teresinha,Av. Norte Miguel Arraes de Alencar+R. Alto José Bonifácio,avenida+rua,3.0
Torreao,Bomba Do Hemeterio,R. Vinte e Quatro de Julho+Av. Beberibe Santa Cruz Futebol Clube+R. Sete Pecados,rua+avenida+rua+ponte,5.5
Torreao,Cajueiro,R. Prudente de Moraes+R. Marquês de Baipendi+R. Iguatu,rua+rua+rua+ponte,6.5
Torreao,Fundao,R. do Machado+R. Fonseca Oliveira,rua+rua+ponte,4.5
Torreao,Porto Da Madeira,R. do Machado+R. Fonseca Oliveira+Av. Beberibe,rua+rua+avenida+ponte,5.5
Torreao,Beberibe,Av. Beberibe+Av. Beberibe Santa Cruz Futebol Clube+R. Castro Alves,avenida+rua+avenida+ponte,4.5
Torreao,Dois Unidos,R. Ladeira de Pedra+Av. Beberibe Santa Cruz Futebol Clube+R. Vinte e Quatro de Junho,rua+avenida+rua+ponte,5.5
Torreao,Linha Do Tiro,R. Ladeira de Pedra+Av. Beberibe Santa Cruz Futebol,rua+avenida+ponte,3.5
Agua Fria,Alto Santa Teresinha,Av. Norte Miguel Arraes de Alencar,avenida,1.0
Agua Fria,Bomba Do Hemeterio,Av. Norte Miguel Arraes de Alencar+Estr. Velha de Agua Fria,avenida+avenida+ponte,2.5
Agua Fria,Cajueiro,R. Jeronimo Vilela+R. das Mocas,rua+rua+ponte,4.5
Agua Fria,Fundao,Av. Beberibe Santa Cruz Futebol Clube+R. Casto Alves,avenida+rua+ponte,3.5
Agua Fria,Porto Da Madeira,Av. Beberibe Santa Cruz Futebol Clube+Av.Beiribe,avenida+avenida+ponte,2.5
Agua Fria,Beberibe,Av. Beberibe Santa Cruz Futebol+Av. Beberibe,avenida+avenida+ponte,2.5
Agua Fria,Dois Unidos,Av. Norte Miguel Arraes de Alencar+R. Alto Jose Bonifacio,avenida+rua+ponte,3.5
Agua Fria,Linha Do Tiro,Av. Norte Miguel Arraes de Alencar+R. Alto Joss Bonifácio+R. Corrego do Bartolomeu,avenida+rua+rua+ponte,5.5
Alto Santa Teresinha,Bomba Do Hemeterio,R. Prof. Joss Amarino dos Reis,rua,2.0
Alto Santa Teresinha,Cajueiro,Av.Beberibe+R. do Hemeterio,avenida+rua,3.0
Alto Santa Teresinha,Fundao,R. Uriel de Holanda+Av. Beberibe,rua+avenida,3.0
Alto Santa Teresinha,Porto Da Madeira,R. Uriel de Holanda+Av. Beberibe,rua+avenida,3.0
Alto Santa Teresinha,Beberibe,R. Uriel de Holanda+R. Eladio Cambolim,rua+rua,4.0
Alto Santa Teresinha,Dois Unidos,Av. Chagas Ferreira+R. Eladio Cambolim,avenida+rua,3.0
Alto Santa Teresinha,Linha Do Tiro,Rua alto do brasil+R. Eládio Camboim+R. Uriel de Holanda,rua+rua+rua,6.0
Bomba Do Hemeterio,Cajueiro,R. São Sebastião+Av. Beberibe,rua+avenida,3.0
Bomba Do Hemeterio,Fundao,R. São Sebastião+Av. Beberibe,rua+avenida,3.0
Bomba Do Hemeterio,Porto Da Madeira,R. Tamboara+Av. Aníbal Benévolo,rua+avenida,3.0
Bomba Do Hemeterio,Beberibe,Av. Beberibe,avenida,1.0
Bomba Do Hemeterio,Dois Unidos,R. Prof. Joss Amarino dos Reis+Av. Chagas Ferreira,rua+avenida,3.0
Bomba Do Hemeterio,Linha Do Tiro,R. Prof. Joss Amarino dos Reis,rua,2.0
Cajueiro,Fundao,Av. Sebastião Salazar +Av. Beberibe,avenida+avenida,2.0
Cajueiro,Porto Da Madeira,Av. Sebastião Salazar+Av. Beberibe,avenida+avenida,2.0
Cajueiro,Beberibe,Av. Sebastião Salazar+Av. Beberibe,avenida+avenida,2.0
Cajueiro,Dois Unidos,Av. Beberibe+Av. Leopoldino Canuto de Melo+R. Divisopolis,avenida+avenida+rua,4.0
Cajueiro,Linha Do Tiro,Av. Aníbal Benévolo+R. Uriel de Holanda,avenida+rua,3.0
Fundao,Porto Da Madeira,Av. Beberibe,avenida,1.0
Fundao,Beberibe,Av. Beberibe,avenida,1.0
Fundao,Dois Unidos,Av. Beberibe+R. Divisopolis,avenida+rua,3.0
Fundao,Linha Do Tiro,R. Maj. Davino+R. Uriel de Holanda,rua+rua,4.0
Porto Da Madeira,Beberibe,Av. Beberibe,avenida,1.0
Porto Da Madeira,Dois Unidos,Av. Beberibe+Av. Leopoldino Canuto de Melo+R. Divisopolis,avenida+rua+avenida,5.0
Porto Da Madeira,Linha Do Tiro,Av. Aníbal Benévolo+R. Uriel de Holanda,avenida+rua,3.0
Beberibe,Dois Unidos,Av. Leopoldino Canuto de Melo+Av. Hildebrando de Vasconcelos,avenida+avenida,2.0
Beberibe,Linha Do Tiro,R. Alto dos Coqueiros+R. Uriel de Holanda,rua+rua,4.0
Dois Unidos,Linha Do Tiro,Rua Divisópolis+Subida da Medalha Milagrosa,rua+rua,4.0
Aflitos,Alto Do Mandu,Estr. do Arraial+Av. Dr. Euríco Chaves,avenida+avenida,2.0
Aflitos,Apipucos,Estr. do Arraial+R. de Apipucos,avenida+rua,3.0
Aflitos,Casa Amarela,Estr. do Arraial,avenida,1.0
Aflitos,Casa Forte,Estr. do Arraial+R. da Harmonia,avenida+rua,3.0
Aflitos,Derby,R. Quarenta e Oito+Av. Gov. Agamenon Magalhães,rua+avenida,3.0
Aflitos,Dois Irmaos,Av. Norte Miguel Arraes de Alencar+Av. da Recuperacao,avenida+avenida,2.0
Aflitos,Espinheiro,R. Quarenta e Oito,rua,2.0
Aflitos,Gracas,Rua Conselheiro Portela+R. Joao Ramos,rua+rua,4.0
Aflitos,Jaqueira,R. Carneiro Vilela+R. Ricardo Hardman,rua+rua,4.0
Aflitos,Monteiro,Estr. do Arraial,avenida,1.0
Aflitos,Parnamirim,Estr. do Arraial+Av. Conselheiro Rosa e Silva,avenida+avenida,2.0
Aflitos,Poco,R. Leonardo Bezerra Cavalcante+Av. Dezessete de Agosto,rua+avenida,3.0
Aflitos,Santana,Av. Dezessete de Agosto+Estr. do Arraial,avenida+avenida,2.0
Aflitos,Sitio Dos Pintos,Estr. do Arraial+R. de Apipucos+R. Manuel de Medeiros+Estr. dos Pintos,avenida+rua+rua+avenida,6.0
Aflitos,Tamarineira,Av. Santos Dumont+Av. Norte Miguel Arraes de Alencar,avenida+avenida,2.0
Alto Do Mandu,Apipucos,Estr. do Arraial+R. do Apipucos,avenida+rua,3.0
Alto Do Mandu,Casa Amarela,Estr. do Arraial,avenida,1.0
Alto Do Mandu,Casa Forte,Estr. do Arraial+R. da Harmonia,avenida+avenida,3.0
Alto Do Mandu,Derby,R. Quarenta e Oito+Av. Gov. Agamenon Magalhães,rua+avenida,3.0
Alto Do Mandu,Dois Irmaos,Av. Norte Miguel Arraes de Alencar+Av da Recuperacao,avenida+avenida,2.0
Alto Do Mandu,Espinheiro,R. Quarenta e Oito,rua,2.0
Alto Do Mandu,Gracas,Av. Dr. Malaquias+Av. Rui Barbosa,avenida+avenida,2.0
Alto Do Mandu,Jaqueira,R. Carneiro Vilela+R. Ricardo Hardman,rua+rua,4.0
Alto Do Mandu,Monteiro,Estr. do Arraial,avenida,1.0
Alto Do Mandu,Parnamirim,R. Padre Roma+Av. Conselheiro Rosa e Silva,rua+avenida,3.0
Alto Do Mandu,Poco,R. Leonardo Bezerra Cavalcante+Av. Dezessete de Agosto,rua+avenida,3.0
Alto Do Mandu,Santana,R. Leonardo Bezerra Cavalcante+R. do Futuro,rua+rua,4.0
Alto Do Mandu,Sitio Dos Pintos,Av. Norte Miguel Arraes de Alencar+Av. da Recuperacao,avenida+avenida,2.0
Alto Do Mandu,Tamarineira,Av. Santos Dumont+Av. Norte Miguel Arraes de Alencar,avenida+avenida,2.0
Apipucos,Casa Amarela,R. Mandacaru+R. Padre Lemos,rua+rua,4.0
Apipucos,Casa Forte,R. de Apipucos+Av. Dezessete de Agosto,rua+avenida,3.0
Apipucos,Derby,Av. Rui Barbosa+Estr. do Encanamento+R. de Apipucos,avenida+avenida+rua,4.0
Apipucos,Dois Irmaos,R. Dois Irmãos,rua,2.0
Apipucos,Espinheiro,Av. Norte Miguel Arraes de Alencar,avenida,1.0
Apipucos,Gracas,R. do Apipucos+Estr. do Encanamento+Av. Rui Barbosa,avenida+avenida+rua,4.0
Apipucos,Jaqueira,R. de Apipucos+Estr. do Encanamento,rua+rua,4.0
Apipucos,Monteiro,R. de Apipucos,rua,2.0
Apipucos,Parnamirim,R. de Apipucos+Av. Dezessete de Agosto,rua+avenida,3.0
Apipucos,Poco,R. de Apipucos+Av. Dezessete de Agosto,rua+avenida,3.0
Apipucos,Santana,R. de Apipucos+Av. Dezessete de Agosto,rua+avenida,3.0
Apipucos,Sitio Dos Pintos,R. Dois Irmaos+R. Manuel de Medeiros+Estr. dos Pintos,rua+rua+avenida,5.0
Apipucos,Tamarineira,Av. Norte Miguel Arraes de Alencar+R. de Apipucos,avenida+rua,3.0
Casa Amarela,Casa Forte,R. Jerônimo de Albuquerque,rua,2.0
Casa Amarela,Derby,Av. Rui Barbosa+Estr. do Encanamento,avenida+avenida,2.0
Casa Amarela,Dois Irmaos,Av. Norte Miguel Arraes de Alencar+Av da Recuperacao,avenida+avenida,2.0
Casa Amarela,Espinheiro,Av. Norte Miguel Arraes de Alencar,avenida,1.0
Casa Amarela,Gracas,Estr. do Encanamento+Av. Rui Barbosa,avenida+avenida,2.0
